C:\Users\Novus\Downloads\data\IMG\center_2023_05_27_22_52_09_601.jpg, C:\Users\Novus\Downloads\data\IMG\left_2023_05_27_22_52_09_601.jpg, C:\Users\Novus\Downloads\data\IMG\right_2023_05_27_22_52_09_601.jpg, 0, 0, 0, 7.873282E-05
C:\Users\Novus\Downloads\data\IMG\center_2023_05_27_22_52_09_709.jpg, C:\Users\Novus\Downloads\data\IMG\left_2023_05_27_22_52_09_709.jpg, C:\Users\Novus\Downloads\data\IMG\right_2023_05_27_22_52_09_709.jpg, 0, 0, 0, 7.773539E-05
C:\Users\Novus\Downloads\data\IMG\center_2023_05_27_22_52_09_810.jpg, C:\Users\Novus\Downloads\data\IMG\left_2023_05_27_22_52_09_810.jpg, C:\Users\Novus\Downloads\data\IMG\right_2023_05_27_22_52_09_810.jpg, 0, 0, 0, 7.764592E-05
C:\Users\Novus\Downloads\data\IMG\center_2023_05_27_22_52_09_913.jpg, C:\Users\Novus\Downloads\data\IMG\left_2023_05_27_22_52_09_913.jpg, C:\Users\Novus\Downloads\data\IMG\right_2023_05_27_22_52_09_913.jpg, 0, 0, 0, 7.808338E-05
C:\Users\Novus\Downloads\data\IMG\center_2023_05_27_22_52_10_022.jpg, C:\Users\Novus\Downloads\data\IMG\left_2023_05_27_22_52_10_022.jpg, C:\Users\Novus\Downloads\data\IMG\right_2023_05_27_22_52_10_022.jpg, 0, 0, 0, 8.277999E-05
C:\Users\Novus\Downloads\data\IMG\center_2023_05_27_22_52_10_122.jpg, C:\Users\Novus\Downloads\data\IMG\left_2023_05_27_22_52_10_122.jpg, C:\Users\Novus\Downloads\data\IMG\right_2023_05_27_22_52_10_122.jpg, 0, 0, 0, 8.099328E-05
C:\Users\Novus\Downloads\data\IMG\center_2023_05_27_22_52_10_233.jpg, C:\Users\Novus\Downloads\data\IMG\left_2023_05_27_22_52_10_233.jpg, C:\Users\Novus\Downloads\data\IMG\right_2023_05_27_22_52_10_233.jpg, 0, 0, 0, 7.928642E-05
C:\Users\Novus\Downloads\data\IMG\center_2023_05_27_22_52_10_342.jpg, C:\Users\Novus\Downloads\data\IMG\left_2023_05_27_22_52_10_342.jpg, C:\Users\Novus\Downloads\data\IMG\right_2023_05_27_22_52_10_342.jpg, 0, 0, 0, 7.838311E-05
C:\Users\Novus\Downloads\data\IMG\center_2023_05_27_22_52_10_449.jpg, C:\Users\Novus\Downloads\data\IMG\left_2023_05_27_22_52_10_449.jpg, C:\Users\Novus\Downloads\data\IMG\right_2023_05_27_22_52_10_449.jpg, 0, 0.2163174, 0, 0.1137058
C:\Users\Novus\Downloads\data\IMG\center_2023_05_27_22_52_10_555.jpg, C:\Users\Novus\Downloads\data\IMG\left_2023_05_27_22_52_10_555.jpg, C:\Users\Novus\Downloads\data\IMG\right_2023_05_27_22_52_10_555.jpg, 0, 0.5336958, 0, 0.6326627
C:\Users\Novus\Downloads\data\IMG\center_2023_05_27_22_52_10_664.jpg, C:\Users\Novus\Downloads\data\IMG\left_2023_05_27_22_52_10_664.jpg, C:\Users\Novus\Downloads\data\IMG\right_2023_05_27_22_52_10_664.jpg, 0, 0.8234472, 0, 1.407204
